DateTime,Temperatur,Luftfugtighed,Middelvindhastighed,Højeste vindstød,Nedbør,Sigtbarhed
3/14/2025 6:00,"-1,1",84,"2,4","5,1",0,50000
3/14/2025 7:00,"-1,9",85,"2,2","3,6",0,50000
3/14/2025 8:00,"-1,5",82,"1,8","3,2",0,50000
3/14/2025 9:00,"-0,1",63,"4,4","7,6",0,45000
3/14/2025 10:00,"1,5",55,"4,3",9,0,40000
3/14/2025 11:00,"2,1",52,"4,5","7,5",0,45000
3/14/2025 12:00,2,54,"4,3","7,6",0,45000
3/14/2025 13:00,"2,6",51,"4,3","8,1",0,40000
3/14/2025 14:00,"2,6",52,"4,2","7,7",0,45000
3/14/2025 15:00,"3,1",52,"3,9","7,8",0,45000
3/14/2025 16:00,"3,1",47,"3,9","6,5",0,40000
3/14/2025 17:00,"2,5",48,"3,6","6,6",0,50000
3/14/2025 18:00,"1,3",56,"2,5","4,3",0,50000
3/14/2025 19:00,"-1,8",70,"1,5","2,2",0,50000
3/14/2025 20:00,"-2,8",79,"1,4","2,1",0,50000
3/14/2025 21:00,"-3,6",89,"0,6","0,9",0,50000
3/14/2025 22:00,"-3,9",91,"1,1","1,3",0,45000
3/14/2025 23:00,"-4,7",92,"0,6","0,9",0,45000
3/15/2025 0:00,"-5,4",94,"0,7",1,0,35000
3/15/2025 1:00,"-6,1",95,"0,6","0,8",0,27000
3/15/2025 2:00,"-6,3",96,"0,6","0,9",0,27000
3/15/2025 3:00,"-6,7",96,"0,8","1,1",0,27000
3/15/2025 4:00,"-6,9",96,"0,6","0,9",0,28000
3/15/2025 5:00,"-7,3",96,"0,7","0,9",0,26000
3/15/2025 6:00,"-7,7",95,"1,1","1,6",0,25000
3/15/2025 7:00,-7,96,"0,5","0,6",0,18000
3/15/2025 8:00,-3,95,1,"1,5",0,40000
3/15/2025 9:00,"0,1",79,"1,9","2,6",0,45000
3/15/2025 10:00,"2,3",70,"3,6","4,6",0,45000
3/15/2025 11:00,"3,3",67,"3,2",5,0,40000
3/15/2025 12:00,"4,5",59,"3,1","5,4",0,35000
3/15/2025 13:00,"5,8",50,"2,3",5,0,45000
3/15/2025 14:00,"6,9",49,"2,9","6,1",0,30000
3/15/2025 15:00,"6,7",51,"3,5","7,2",0,40000
3/15/2025 16:00,"7,3",49,"2,6","5,9",0,40000
3/15/2025 17:00,"6,4",51,"2,6",5,0,45000
3/15/2025 18:00,"5,5",56,"1,8","3,3",0,50000
3/15/2025 19:00,5,62,"2,4","4,6",0,50000
3/15/2025 20:00,"4,3",69,"2,5","4,8",0,50000
3/15/2025 21:00,"2,4",78,"1,6","2,5",0,50000
3/15/2025 22:00,"2,4",81,"2,5","3,7",0,50000
3/15/2025 23:00,"1,8",86,"3,1","6,1",0,50000
3/16/2025 0:00,"1,3",90,"3,7","5,3",0,45000
3/16/2025 1:00,"1,7",92,"4,2","7,1",0,40000
3/16/2025 2:00,"1,5",93,"4,3","6,5",0,40000
3/16/2025 3:00,"1,2",94,"4,1","6,4",0,30000
3/16/2025 4:00,"2,3",93,3,"5,9",0,35000
3/16/2025 5:00,"3,4",90,"3,6","7,9",0,30000
3/16/2025 6:00,"3,4",90,4,"7,8",0,40000
3/16/2025 7:00,"3,7",91,"3,9","6,3",0,45000
3/16/2025 8:00,"4,3",93,"3,9","7,2",0,15000
3/16/2025 9:00,"5,7",87,"3,2","6,5",0,35000
3/16/2025 10:00,"7,1",76,"4,2","8,5",0,35000
3/16/2025 11:00,"7,4",66,"4,2","8,6",0,40000
3/16/2025 12:00,"8,4",60,"4,5","8,3",0,30000
3/16/2025 13:00,"9,7",54,3,"6,4",0,35000
3/16/2025 14:00,"9,5",51,"3,3","7,5",0,40000
3/16/2025 15:00,"7,8",58,"5,6","10,5",0,50000
3/16/2025 16:00,"7,4",53,"5,6","9,6",0,45000
3/16/2025 17:00,"6,1",44,"5,8","10,1",0,45000
3/16/2025 18:00,"4,7",46,"4,8","10,2",0,50000
3/16/2025 19:00,"3,7",49,"3,5","6,7",0,50000
3/16/2025 20:00,"2,7",64,"4,2","7,4",0,50000
3/16/2025 21:00,"2,5",57,"4,5","7,3",0,50000
3/16/2025 22:00,"1,9",49,"3,2","5,6",0,50000
3/16/2025 23:00,"-0,6",55,"1,6","2,9",0,50000
3/17/2025 0:00,"-1,3",57,"1,3","2,2",0,50000
3/17/2025 1:00,"-1,3",69,"1,6","2,5",0,50000
3/17/2025 2:00,"-2,6",78,2,3,0,50000
3/17/2025 3:00,"-2,6",75,"1,8","2,6",0,50000
3/17/2025 4:00,"-3,7",80,"2,1","2,7",0,50000
3/17/2025 5:00,"-3,3",76,"1,8",3,0,50000
3/17/2025 6:00,"-4,8",82,"0,5","1,4",0,50000
3/17/2025 7:00,"-5,5",90,"0,7","1,2",0,45000
3/17/2025 8:00,"-1,7",83,"0,6","1,1",0,40000
3/17/2025 9:00,2,55,"1,5",3,0,45000
3/17/2025 10:00,"2,7",45,"1,9","3,3",0,40000
3/17/2025 11:00,"3,6",44,"2,3","4,1",0,50000
3/17/2025 12:00,"4,3",40,"2,2","4,2",0,40000
3/17/2025 13:00,"5,7",32,"2,4",5,0,50000
3/17/2025 14:00,"5,8",31,"2,7","5,3",0,40000
3/17/2025 15:00,"6,7",32,"2,9","6,6",0,40000
3/17/2025 16:00,"6,8",34,"2,8","5,8",0,45000
3/17/2025 17:00,"6,5",37,"2,7","5,8",0,50000
3/17/2025 18:00,"5,1",47,"2,8","6,2",0,50000
3/17/2025 19:00,"3,3",58,"1,9","5,3",0,50000
3/17/2025 20:00,"2,2",63,"2,1","4,7",0,50000
3/17/2025 21:00,"1,2",67,"2,2","3,4",0,50000
3/17/2025 22:00,"0,5",70,"2,6","5,1",0,50000
3/17/2025 23:00,"0,3",72,"3,3","4,9",0,50000
3/18/2025 0:00,"0,2",76,"3,5","5,8",0,50000
3/18/2025 1:00,"0,3",79,"3,6","5,8",0,50000
3/18/2025 2:00,"0,5",84,"3,3","5,2",0,45000
3/18/2025 3:00,"0,8",86,"3,5","6,3",0,40000
3/18/2025 4:00,"1,3",88,"3,7","6,2",0,35000
3/18/2025 5:00,"1,6",87,"3,5",6,0,30000
3/18/2025 6:00,"1,8",87,"2,4","4,4",0,30000
3/18/2025 7:00,"1,7",89,"3,4","5,3",0,30000
3/18/2025 8:00,"3,1",85,"3,2","6,2",0,30000
3/18/2025 9:00,"4,3",80,3,"6,5",0,30000
3/18/2025 10:00,"4,9",78,"3,8","7,4",0,30000
3/18/2025 11:00,"5,7",73,"3,9","6,5",0,30000
3/18/2025 12:00,"6,4",69,"3,7","6,3",0,30000
3/18/2025 13:00,"6,5",68,"3,9","6,7",0,30000
3/18/2025 14:00,"6,6",67,"3,2","7,1",0,35000
3/18/2025 15:00,"6,2",70,"3,6","8,1",0,35000
3/18/2025 16:00,"5,7",68,"3,4","6,2",0,45000
3/18/2025 17:00,"5,8",68,"3,8","7,2",0,45000
3/18/2025 18:00,"5,4",69,"2,4",5,0,45000
3/18/2025 19:00,"4,6",71,"3,4","6,3",0,45000
3/18/2025 20:00,"3,4",75,"3,7","6,4",0,40000
3/18/2025 21:00,"2,8",79,"2,4","4,9",0,45000
3/18/2025 22:00,"2,1",81,"3,1","5,7",0,35000
3/18/2025 23:00,"1,2",85,"2,4","3,9",0,30000
3/19/2025 0:00,"1,6",85,3,"5,1",0,30000
3/19/2025 1:00,2,84,"2,7","6,4",0,40000
