dataset,test_size,horizon,order,seasonal_order,iter,mae,mse,rmse,smape
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",136,1.602,4.076,2.019,42.813
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",137,1.375,3.308,1.819,38.815
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",138,1.395,3.337,1.827,39.185
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",139,1.42,3.399,1.844,39.868
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",140,1.937,5.891,2.427,56.1
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",141,2.6,9.683,3.112,76.634
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",142,3.411,15.104,3.886,102.009
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",143,3.598,16.239,4.03,107.44
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",144,1.463,3.927,1.982,37.262
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",145,1.551,4.26,2.064,40.476
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",146,1.507,3.996,1.999,41.871
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",147,1.351,3.257,1.805,40.43
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",148,3.442,14.925,3.863,104.444
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",149,3.964,18.697,4.324,115.451
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",150,2.575,9.308,3.051,69.227
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",151,1.23,2.556,1.599,33.521
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",152,1.394,2.905,1.704,35.994
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",153,1.27,2.603,1.613,33.928
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",154,1.312,3.057,1.748,33.428
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",155,1.511,3.997,1.999,37.02
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",156,1.3,2.871,1.694,33.588
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",157,1.276,2.629,1.621,34.148
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",158,1.437,3.054,1.748,36.791
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",159,1.32,2.699,1.643,34.84
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",160,1.617,3.588,1.894,39.214
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",161,1.856,4.433,2.105,42.268
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",162,1.247,2.725,1.651,33.147
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",163,1.889,5.431,2.33,50.469
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",164,1.361,3.156,1.777,35.114
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",165,1.615,4.258,2.063,40.97
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",166,2.637,9.55,3.09,68.899
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",167,3.2,13.037,3.611,88.636
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",168,2.481,8.868,2.978,63.274
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",169,1.405,3.169,1.78,33.579
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",170,1.485,3.197,1.788,34.187
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",171,1.57,3.598,1.897,35.856
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",172,2.224,6.676,2.584,38.297
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",173,2.502,8.61,2.934,40.489
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",174,2.013,5.132,2.265,36.671
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",175,1.913,5.9,2.429,37.992
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",176,2.154,7.272,2.697,40.866
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",177,1.755,4.909,2.216,35.991
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",178,1.749,4.787,2.188,35.841
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",179,1.624,3.962,1.99,33.958
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",180,1.606,3.558,1.886,33.176
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",181,1.835,4.506,2.123,34.535
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",182,2.624,9.269,3.045,40.533
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",183,3.331,13.935,3.733,46.581
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",184,3.166,12.577,3.546,45.183
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",185,4.323,21.116,4.595,54.787
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",186,1.6,3.44,1.855,33.384
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",187,1.802,5.359,2.315,38.496
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",188,2.295,8.515,2.918,47.843
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",189,2.684,10.978,3.313,57.662
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",190,3.044,13.336,3.652,67.342
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",191,2.411,9.198,3.033,49.211
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",192,2.674,10.875,3.298,54.974
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",193,2.666,10.735,3.276,54.351
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",194,2.646,10.444,3.232,53.646
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",195,2.962,12.616,3.552,60.298
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",196,5.117,31.479,5.611,106.243
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",197,5.431,34.377,5.863,111.08
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",198,3.287,14.897,3.86,60.403
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",199,2.053,6.622,2.573,33.302
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",200,2.043,6.449,2.539,32.782
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",0,2.01,5.392,2.322,8.925
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",1,1.85,4.332,2.081,8.28
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",2,1.91,5.319,2.306,9.342
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",3,1.431,3.284,1.812,6.881
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",4,2.013,5.086,2.255,9.692
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",5,3.227,13.324,3.65,14.655
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",6,4.321,21.558,4.643,18.996
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",7,2.884,12.767,3.573,12.297
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",8,4.68,36.622,6.052,18.583
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",9,8.177,83.843,9.157,33.432
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",10,7.693,65.359,8.084,30.071
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",11,3.94,19.979,4.47,14.132
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",12,2.297,9.212,3.035,7.975
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",13,2.966,12.505,3.536,10.184
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",14,3.034,11.281,3.359,10.415
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",15,4.038,26.86,5.183,13.564
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",16,10.699,163.626,12.792,35.495
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",17,11.855,210.993,14.526,34.267
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",18,19.341,591.018,24.311,46.691
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",19,27.037,1184.444,34.416,51.988
carbon,small,5,"(1, 1, 1)","(2, 0, 0, 24)",20,35.279,1711.124,41.366,60.066
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",0,39.639,2642.221,51.403,93.554
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",1,42.951,2927.864,54.11,110.863
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",2,42.25,2828.267,53.181,107.149
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",3,35.76,2220.65,47.124,76.504
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",4,32.209,1893.439,43.514,63.059
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",5,30.784,1729.584,41.588,58.325
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",6,29.632,1577.289,39.715,54.788
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",7,32.131,1841.945,42.918,62.653
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",8,35.301,2110.64,45.942,73.827
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",9,41.396,2628.185,51.266,98.694
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",10,47.291,3161.957,56.231,127.693
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",11,48.629,3260.052,57.097,133.933
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",12,44.08,2808.788,52.998,109.469
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",13,38.561,2331.412,48.285,84.847
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",14,35.743,2099.675,45.822,73.586
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",15,34.322,1977.279,44.467,68.194
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",16,33.641,1906.376,43.662,65.072
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",17,33.249,1853.756,43.055,63.338
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",18,32.115,1752.153,41.859,59.028
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",19,30.789,1647.412,40.588,53.459
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",20,30.377,1603.254,40.041,50.605
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",21,27.41,1213.937,34.842,42.05
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",22,27.652,1112.038,33.347,41.461
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",23,28.005,979.985,31.305,40.866
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",24,32.026,1355.206,36.813,44.762
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",25,32.3,1351.106,36.757,45.045
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",26,34.504,1564.272,39.551,47.173
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",27,35.689,1726.52,41.551,48.214
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",28,30.816,1147.751,33.878,43.718
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",29,31.951,1215.713,34.867,44.84
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",30,32.272,1212.161,34.816,45.258
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",31,33.751,1371.761,37.037,46.437
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",32,38.145,2251.906,47.454,49.419
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",33,44.037,3017.337,54.93,53.8
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",34,47.953,3402.131,58.328,56.659
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",35,43.59,2909.776,53.942,53.532
carbon,large,50,"(0, 1, 0)","(2, 0, 1, 24)",36,45.123,3042.06,55.155,54.709
